FID,ID,kabko,lat,long,tanggal_ms,tanggal_iso,hari,populasi,otg,odp_aktif,pdp_aktif,pos_aktif,pos_rs,pos_meninggal,pos_sembuh,pos_total
9,9,KAB. KEDIRI,-7.830719424953522,112.0877702683505,1587427200000,2020-04-21,32,1580092,380,251,39,7,3,4,2,13
9,9,KAB. KEDIRI,-7.830719424953522,112.0877702683505,1587513600000,2020-04-22,33,1580092,379,267,42,15,5,4,2,21
9,9,KAB. KEDIRI,-7.830719424953522,112.0877702683505,1587600000000,2020-04-23,34,1580092,377,282,43,15,5,4,2,21
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1589155200000,2020-05-11,52,1252020,366,34,9,12,12,3,0,15
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1589241600000,2020-05-12,53,1252020,366,34,8,12,12,3,0,15
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1589328000000,2020-05-13,54,1252020,366,34,8,14,12,3,0,17
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1589414400000,2020-05-14,55,1252020,366,31,7,19,11,3,0,22
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1591142400000,2020-06-03,75,1163789,244,54,4,1,0,3,6,10
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1591228800000,2020-06-04,76,1163789,247,52,4,1,0,3,6,10
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1591315200000,2020-06-05,77,1163789,247,54,4,1,0,3,6,10
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1591401600000,2020-06-06,78,1163789,247,48,4,1,0,3,6,10
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1591488000000,2020-06-07,79,1163789,247,43,4,1,0,3,6,10
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1590364800000,2020-05-25,66,778789,88,58,1,8,4,0,2,10
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1590451200000,2020-05-26,67,778789,88,60,1,8,4,0,2,10
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1590537600000,2020-05-27,68,778789,96,60,0,7,3,0,3,10
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1590624000000,2020-05-28,69,778789,97,34,0,7,3,0,3,10
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1590710400000,2020-05-29,70,778789,97,34,0,7,3,0,3,10
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1590796800000,2020-05-30,71,778789,97,34,0,7,3,0,3,10
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1590883200000,2020-05-31,72,778789,97,32,0,9,6,0,4,13
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1590969600000,2020-06-01,73,778789,96,23,0,13,10,0,4,17
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1595289600000,2020-07-21,123,994212,1485,205,18,148,56,43,136,327
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1595376000000,2020-07-22,124,994212,1486,206,23,150,54,44,137,331
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1595462400000,2020-07-23,125,994212,1485,117,23,79,54,44,208,331
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1595548800000,2020-07-24,126,994212,1485,117,23,75,54,44,214,333
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1595635200000,2020-07-25,127,994212,1492,119,22,75,37,44,217,336
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1589241600000,2020-05-12,53,1268504,284,28,8,16,13,0,2,18
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1589328000000,2020-05-13,54,1268504,291,32,10,16,14,0,2,18
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1589414400000,2020-05-14,55,1268504,291,27,10,17,15,1,2,20
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1589500800000,2020-05-15,56,1268504,299,28,10,19,15,1,2,22
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1589587200000,2020-05-16,57,1268504,303,29,10,19,17,1,2,22
